RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-06-30,2022-08-31,2023-05-31
102001,0,United States,Country,,2022-05-31,1.4,4.1,9.7
394913,1,"New York, NY",Msa,NY,2022-05-31,1.1,3.0,6.0
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,2022-05-31,1.2,3.7,8.6
394463,3,"Chicago, IL",Msa,IL,2022-05-31,1.2,3.7,6.9
394514,4,"Dallas-Fort Worth, TX",Msa,TX,2022-05-31,2.6,9.2,21.7
394974,5,"Philadelphia, PA",Msa,PA,2022-05-31,1.2,3.6,7.8
394692,6,"Houston, TX",Msa,TX,2022-05-31,1.5,4.6,10.1
395209,7,"Washington, DC",Msa,DC,2022-05-31,0.8,2.6,5.6
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,2022-05-31,2.4,6.7,14.1
394347,9,"Atlanta, GA",Msa,GA,2022-05-31,1.7,5.4,14.2
394404,10,"Boston, MA",Msa,MA,2022-05-31,1.1,3.3,7.4
395057,11,"San Francisco, CA",Msa,CA,2022-05-31,0.7,2.8,7.0
394532,12,"Detroit, MI",Msa,MI,2022-05-31,0.9,3.0,8.3
395025,13,"Riverside, CA",Msa,CA,2022-05-31,1.0,3.8,10.6
394976,14,"Phoenix, AZ",Msa,AZ,2022-05-31,1.9,5.1,14.1
395078,15,"Seattle, WA",Msa,WA,2022-05-31,0.6,1.8,9.6
394865,16,"Minneapolis-St Paul, MN",Msa,MN,2022-05-31,0.8,3.0,7.3
395056,17,"San Diego, CA",Msa,CA,2022-05-31,1.0,3.8,10.3
395121,18,"St. Louis, MO",Msa,MO,2022-05-31,0.9,3.2,7.4
395148,19,"Tampa, FL",Msa,FL,2022-05-31,2.6,6.7,16.3
394358,20,"Baltimore, MD",Msa,MD,2022-05-31,0.7,2.6,5.1
394530,21,"Denver, CO",Msa,CO,2022-05-31,1.1,3.7,9.5
394982,22,"Pittsburgh, PA",Msa,PA,2022-05-31,0.5,2.3,6.4
394998,23,"Portland, OR",Msa,OR,2022-05-31,1.1,3.2,8.0
394458,24,"Charlotte, NC",Msa,NC,2022-05-31,1.9,5.6,14.5
395045,25,"Sacramento, CA",Msa,CA,2022-05-31,1.1,3.9,9.2
395055,26,"San Antonio, TX",Msa,TX,2022-05-31,1.5,4.7,11.3
394943,27,"Orlando, FL",Msa,FL,2022-05-31,2.3,6.0,14.3
394466,28,"Cincinnati, OH",Msa,OH,2022-05-31,1.4,4.0,9.5
394475,29,"Cleveland, OH",Msa,OH,2022-05-31,1.3,3.8,8.6
394735,30,"Kansas City, MO",Msa,MO,2022-05-31,1.1,3.5,9.0
394775,31,"Las Vegas, NV",Msa,NV,2022-05-31,1.5,4.6,13.3
394492,32,"Columbus, OH",Msa,OH,2022-05-31,1.2,3.6,9.5
394705,33,"Indianapolis, IN",Msa,IN,2022-05-31,1.4,4.1,10.7
395059,34,"San Jose, CA",Msa,CA,2022-05-31,0.6,1.6,6.0
394355,35,"Austin, TX",Msa,TX,2022-05-31,1.0,3.7,10.7
395194,36,"Virginia Beach, VA",Msa,VA,2022-05-31,0.9,3.0,6.5
394902,37,"Nashville, TN",Msa,TN,2022-05-31,2.4,6.8,16.5
395005,38,"Providence, RI",Msa,RI,2022-05-31,1.3,4.0,9.3
394862,39,"Milwaukee, WI",Msa,WI,2022-05-31,0.7,2.3,6.4
394714,40,"Jacksonville, FL",Msa,FL,2022-05-31,1.9,5.7,14.4
394849,41,"Memphis, TN",Msa,TN,2022-05-31,1.1,3.9,10.5
394935,42,"Oklahoma City, OK",Msa,OK,2022-05-31,1.2,3.6,7.7
394807,43,"Louisville-Jefferson County, KY",Msa,KY,2022-05-31,1.0,3.1,7.6
394669,44,"Hartford, CT",Msa,CT,2022-05-31,1.6,3.9,7.4
395022,45,"Richmond, VA",Msa,VA,2022-05-31,1.4,3.9,7.8
394910,46,"New Orleans, LA",Msa,LA,2022-05-31,1.0,3.0,6.0
394425,47,"Buffalo, NY",Msa,NY,2022-05-31,1.0,3.2,8.8
395012,48,"Raleigh, NC",Msa,NC,2022-05-31,2.2,6.3,14.8
394388,49,"Birmingham, AL",Msa,AL,2022-05-31,1.3,3.7,9.0
395053,50,"Salt Lake City, UT",Msa,UT,2022-05-31,1.9,5.4,13.9
395031,51,"Rochester, NY",Msa,NY,2022-05-31,1.1,3.5,8.1
394640,52,"Grand Rapids, MI",Msa,MI,2022-05-31,1.4,4.3,10.5
395167,53,"Tucson, AZ",Msa,AZ,2022-05-31,1.6,5.0,12.9
753924,54,"Urban Honolulu, HI",Msa,HI,2022-05-31,1.2,3.7,6.5
395169,55,"Tulsa, OK",Msa,OK,2022-05-31,1.5,4.1,8.8
394619,56,"Fresno, CA",Msa,CA,2022-05-31,1.3,4.2,10.0
395238,57,"Worcester, MA",Msa,MA,2022-05-31,1.3,3.8,9.3
394415,58,"Stamford, CT",Msa,CT,2022-05-31,1.6,4.2,8.3
394312,59,"Albuquerque, NM",Msa,NM,2022-05-31,1.2,3.9,10.1
